"image","cafeName","cafeAddress","rating","PRICE_RANGE","CUISINES","Special_Diets","Meals","FEATURES"
"https://media-cdn.tripadvisor.com/media/photo-s/10/3e/19/c9/small-place-great-ambiences.jpg","Tekoff Coffee and Tea","Jl. Sagan Timur GK 5/1053B Klitren, Yogyakarta 55223 Indonesia","4.5 ","","Cafe","","",""
"https://media-cdn.tripadvisor.com/media/photo-s/1c/79/b0/45/place-with-history-of.jpg","de Ngokow Coffee Roastery & Tea Club","Jl. Brigjen Katamso Pendopo Ndalem Pujokusuman, Yogyakarta 55152 Indonesia","5.0 ","IDR 10,000 - IDR 28,000","Cafe","","Breakfast, Lunch, Dinner, Brunch, Late Night, Drinks","Delivery, Takeout, Reservations, Outdoor Seating, Seating, Parking Available, Street Parking, Free off-street parking, Television, Wheelchair Accessible, Digital Payments, Free Wifi, Table Service, Drive Thru, Family style, Gift Cards Available"
"https://media-cdn.tripadvisor.com/media/photo-s/0b/75/ab/2f/the-counter-of-slurp.jpg","Slurp! Figs Coffee & Tea","Jl. Veteran No.202 Pandeyan, Kec. Umbulharjo, Yogyakarta 55161 Indonesia","3.5 ","","","","",""
"https://media-cdn.tripadvisor.com/media/photo-s/14/11/49/ee/20180809-220112-largejpg","Sellie Coffee","Jl. Gerilya No. 822, Brontokusuman 55153 Indonesia","4.0 ","","Cafe, Indonesian","","","Takeout, Seating"
"https://media-cdn.tripadvisor.com/media/photo-s/0a/b2/98/19/ministry-of-coffee.jpg","Ministry of Coffee","Jalan Prawirotaman 1/15a, Brontokusuman 55153 Indonesia","4.0 ","","Cafe, American","","Breakfast, Lunch, Dinner","Seating"
"https://media-cdn.tripadvisor.com/media/photo-s/14/08/ac/1d/photo2jpg","Lotus Mio Bangunjiwo Restaurant","Mejing, Kalirandu, Bangunjiwo Permata Harmony Residence, Bantul 55184 Indonesia","4.5 ","","Cafe, European, Indonesian","Vegetarian Friendly, Vegan Options","Lunch, Dinner, Brunch, Breakfast","Takeout, Reservations, Outdoor Seating, Seating, Serves Alcohol, Free Wifi, Table Service"
"https://media-cdn.tripadvisor.com/media/photo-s/0a/de/86/ea/workspace.jpg","Blanco Coffee & Books","Jl. Kranggan No.30 Cokrodiningratan, Kec. Jetis, 55233 Indonesia","4.5 ","","European, Cafe","","Brunch, Breakfast","Takeout, Reservations, Outdoor Seating, Seating, Parking Available, Street Parking, Highchairs Available, Free Wifi, Television, Accepts Mastercard, Accepts Visa, Digital Payments, Cash Only, Wheelchair Accessible, Accepts Credit Cards"
"https://media-cdn.tripadvisor.com/media/photo-w/0c/83/ca/11/meet-me-at-pour-over.jpg","Pour Over Coffee","Jl. Karangjati Pedukuhan V Jetis, Tamantirto, Kasihan, Jetis, Tamantirto, Bantul 55183 Indonesia","5.0 ","IDR 10,000 - IDR 25,000","Asian, Indonesian","","Breakfast","Takeout, Reservations, Outdoor Seating, Seating, Parking Available, Free off-street parking, Cash Only, Accepts Credit Cards"
"https://media-cdn.tripadvisor.com/media/photo-s/15/38/15/50/img-20181101-211726-624.jpg","Cinema Bakery","Jl Yudistira Wonorejo Sariharjo, Ngaglik 55231 Indonesia","4.5 ","","French, European, Cafe","","Drinks, Breakfast, Brunch","Takeout, Seating, Street Parking, Accepts Mastercard, Accepts Visa, Free Wifi, Parking Available"
"https://media-cdn.tripadvisor.com/media/photo-s/0b/be/e6/d8/fb-img-1466965842960.jpg","Warung Kopi Klotok","Jl. Kaliurang Km 16 Pakem Binangun, Pakem, Sleman 55582 Indonesia","4.0 ","","Asian, Indonesian","Vegetarian Friendly, Vegan Options, Halal","Breakfast, Lunch, Brunch","Outdoor Seating, Seating, Parking Available"
