"image","cafeName","cafeAddress","rating","PRICE_RANGE","CUISINES","Special_Diets","Meals","FEATURES"
"https://media-cdn.tripadvisor.com/media/photo-s/12/3a/a5/c5/photo0jpg","Ling-Lung Kopi & Eatery","Jl. Perumnas no. 20A, Depok 55283 Indonesia","4.0 ","","Cafe, Indonesian, Asian","","Brunch","Seating, Reservations, Table Service"
"https://media-cdn.tripadvisor.com/media/photo-s/17/bc/13/ad/easy-garden-at-sunset.jpg","Easy Garden Restaurant & Cafe","Jl. Suryodiningratan 10 Mantrijeron, Yogyakarta 55141 Indonesia","4.5 ","IDR 35,000 - IDR 120,000","Mexican, European, Indonesian, Pizza, International, Asian, Grill","Vegetarian Friendly","Lunch, Dinner, Late Night, Drinks","Takeout, Reservations, Outdoor Seating, Seating, Free Wifi, Table Service, Parking Available, Street Parking, Free off-street parking, Highchairs Available, Serves Alcohol, Full Bar, Wine and Beer, Accepts Mastercard, Accepts Visa, Digital Payments, Accepts Credit Cards, Live Music"
"https://media-cdn.tripadvisor.com/media/photo-s/19/5b/91/28/various-types-of-special.jpg","Kedai Toraja Coffee","Jl. P. Mangkubumi No.20 Jaman Edan FoodCourt, Yogyakarta 55232 Indonesia","","IDR 10,000 - IDR 50,000","Asian, Indonesian","","Dinner, Late Night, Drinks","Delivery, Reservations, Outdoor Seating, Seating, Parking Available, Cash Only"
"","Gowo Coffee","Jl. R.W. Monginsidi No.5A Cokrodiningratan, Jetis, Yogyakarta 55223 Indonesia","","IDR 15,000 - IDR 30,000","Italian, Asian","","Drinks","Delivery, Reservations, Outdoor Seating, Parking Available, Street Parking, Highchairs Available, Wheelchair Accessible, Digital Payments, Free Wifi, Accepts Credit Cards, Drive Thru, Family style, Non-smoking restaurants"
"https://media-cdn.tripadvisor.com/media/photo-s/0a/75/e1/d2/img-20160229-112521-largejpg","Atap Cafe & Resto - CLOSED","Jl. Sosrowijayan No. 1/113, Yogyakarta 55271 Indonesia","4.5 ","IDR 48,000 - IDR 190,000","Indonesian, Barbecue, Asian, Grill, Fusion","","Dinner","Outdoor Seating, Seating, Serves Alcohol, Table Service"
"","Believe Coffee & Cold Press Juice","Jl. Mantrijeron No. MJ3/821, Yogyakarta 55141 Indonesia","","","Japanese, European, Asian, Indonesian, Central Asian","","",""
"https://media-cdn.tripadvisor.com/media/photo-s/1b/5b/ed/97/burger.jpg","Ayam Geprek Sa'i & Hajj Chicken","Jl. Wirosaban Barat Kav. 16 Sorosutan, Umbulharjo, Yogyakarta 55162 Indonesia","","IDR 10,000 - IDR 20,000","American, Asian, Indonesian","","Breakfast, Lunch, Dinner",""
"","Bage X Kama","Jalan Palgading, Yogyakarta 55581 Indonesia","5.0 ","","","","",""
"https://media-cdn.tripadvisor.com/media/photo-s/23/ee/35/1f/barley-barrel-beer-garden.jpg","Barley & Barrel Beer Garden","Jalan Urip Sumoharjo 37 Yogyakarta Lobby Level Of Artotel Suites Bianti Yogyakarta, Yogyakarta 55222 Indonesia","4.0 ","IDR 555,555,968 - IDR 2,147,483,647","International, Wine Bar, Beer restaurants, Asian, Indonesian","","Lunch, Dinner, Late Night, Drinks","Reservations, Outdoor Seating, Private Dining, Seating, Parking Available, Highchairs Available, Serves Alcohol, Full Bar, Wine and Beer, Free Wifi, Accepts Credit Cards, Table Service, Live Music, Jazz Bar, Gift Cards Available"
"https://media-cdn.tripadvisor.com/media/photo-s/06/02/3b/c1/lucifer-bar-resto.jpg","Lucifer Bar & Resto","Jl. Sosrowijayan No. 71, Yogyakarta 55271 Indonesia","3.5 ","","Bar, Pub","","Drinks","Seating, Serves Alcohol, Full Bar, Table Service, Live Music"
"https://media-cdn.tripadvisor.com/media/photo-w/1c/49/2c/0d/garden.jpg","Kopi Luwak - CLOSED","Jalan Malioboro No. 52-58 Malioboro Mall, Yogyakarta Indonesia","3.5 ","","Cafe","","","Seating"
"","Angkringan Bu Bandiyah","Notoyudan Gt Ii No 978 Jalan Letjen Suprapto, Yogyakarta 55271 Indonesia","","","Asian, Indonesian","","",""
"","Dear Eleanor Tea House","Jl. Cenderawasih No.3, Mrican, Caturtunggal, Yogyakarta 55281 Indonesia","","","American","","Brunch, Drinks",""
"","Jingga Café","Jalan Sawojajar 30, Yogyakarta 55131 Indonesia","","","Asian, Indonesian","","",""
"https://media-cdn.tripadvisor.com/media/photo-s/0c/cb/01/0d/sandwiches-al-formaggio.jpg","The Beans Lab - CLOSED","Jl. P. Mangkubumi No. 62-64, Yogyakarta 55232 Indonesia","4.0 ","","Cafe","","Breakfast","Wheelchair Accessible"
"https://media-cdn.tripadvisor.com/media/photo-s/0b/e4/15/ba/photo0jpg","Mangkok Mie & Resto - CLOSED","Jl. Wolter Monginsidi No. 5A, Yogyakarta 55241 Indonesia","4.0 ","","Asian, Indonesian","","",""
"https://media-cdn.tripadvisor.com/media/photo-s/0c/7e/69/03/hot-chocolate-espresso.jpg","Kedai Kopi Mataram - CLOSED","Jalan Mataram 55B Malioboro Mall Terrace, Yogyakarta 55213 Indonesia","4.5 ","IDR 14,000 - IDR 40,000","Italian, Cafe","","Breakfast, Brunch, Late Night","Outdoor Seating, Seating, Television, Free Wifi, Jazz Bar"
"https://media-cdn.tripadvisor.com/media/photo-s/0d/29/91/37/p-20160930-221419-01.jpg","Melting Pot Eatery & Coffee - CLOSED","Jln. Suryodiningratan 37-B, Yogyakarta 55141 Indonesia","4.0 ","IDR 5,000 - IDR 90,000","","","",""
"https://media-cdn.tripadvisor.com/media/photo-s/29/7c/9a/cb/favor-team.jpg","FAVOR Patisserie Pizzeria & Eatery","Jl. C. Simanjuntak No.36a Terban, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta, Yogyakarta 55223 Indonesia","5.0 ","IDR 5,000 - IDR 55,000","Italian, French, Swiss, European, Asian, British, Indonesian","","Breakfast, Lunch, Dinner, Brunch, Drinks","Takeout, Reservations, Outdoor Seating, Seating, Street Parking, Highchairs Available, Digital Payments, Cash Only, Free Wifi, Table Service, Family style"
"","Tahu Walik & Tela Tela Sayidan","Jl.P.Senopati No.46 Rt.012 Rw.004  Prawirodirjan Gondomanan, Yogyakarta 55121 Indonesia","","","Asian, Indonesian","","Dinner, Brunch",""
"https://media-cdn.tripadvisor.com/media/photo-s/0c/c8/fd/a2/photo0jpg","Mount Merapi Bistro & Bakery - CLOSED","Jl. Prawirotaman I 49, Yogyakarta 55283 Indonesia","3.5 ","IDR 6,000 - IDR 90,000","Italian, International, Asian, Indonesian","","",""
