"image","cafeName","cafeAddress","rating","PRICE_RANGE","CUISINES","Special_Diets","Meals","FEATURES"
"https://media-cdn.tripadvisor.com/media/photo-s/17/33/07/8b/our-bar-serve-good-coffee.jpg","Bermuda Coffee & Roastery","Jl. Ring Road Utara No.7 Sanggrahan, Condongcatur, Depok 55281 Indonesia","","$0 - $2","International, Asian, Fusion, Indonesian","","Breakfast, Lunch, Dinner, Brunch, Late Night, Drinks",""
"https://media-cdn.tripadvisor.com/media/photo-s/0c/26/33/57/nasi-uduk-palagan.jpg","Nasi Uduk Palagan","Jln. Tentara Pelajar no. 104, Ngaglik 55231 Indonesia","4.0 ","","Asian, Indonesian","Vegetarian Friendly, Vegan Options","Breakfast, Lunch, Brunch, Dinner","Takeout, Seating, Table Service"
"https://media-cdn.tripadvisor.com/media/photo-p/2a/67/08/16/intip-goreng-berbahan.jpg","Angkringan Iwik","kembaran Rt 07 Rw 00 tamantirto kasihan bantul DIY, Bantul 55813 Indonesia","","","Asian, Indonesian","","Lunch, Drinks",""
"https://media-cdn.tripadvisor.com/media/photo-w/1a/33/22/23/20191126-141942-largejpg","Mie Ongklok Longkrang","Jln. Pasukan Ronggolawe No. 14, Wonosobo 56311 Indonesia","4.0 ","","Indonesian, Asian","Halal","Lunch, Dinner","Takeout, Seating, Table Service"
"https://media-cdn.tripadvisor.com/media/photo-s/1b/9e/e4/5f/photo1jpg","Sakaw Coffee & Bites","Jl. Raya Lawu Kalisoro, Tawangmangu 57792 Indonesia","4.0 ","","","","Breakfast, Lunch, Dinner, Brunch, Drinks","Takeout, Reservations, Outdoor Seating, Seating, Parking Available, Highchairs Available, Free Wifi, Table Service"
"https://media-cdn.tripadvisor.com/media/photo-s/15/c3/41/bf/the-first-the-one-and.jpg","Koma Cheese Tea","Jl. Kanguru No. 1 The Park Mall, 2nd floor, Solo 57552 Indonesia","5.0 ","$1 - $2","Bar, Cafe, Asian, Thai, Indonesian, International, Healthy","","Lunch, Dinner, Drinks","Delivery, Takeout, Seating, Parking Available, Street Parking, Valet Parking, Wheelchair Accessible, Digital Payments, Free Wifi, Accepts Credit Cards"
"https://media-cdn.tripadvisor.com/media/photo-s/0b/50/a0/f5/20160519-005121-largejpg","Arjuna Lounge","Inside Ahmad Yani Airport, Semarang 50145 Indonesia","2.5 ","$5 - $10","Asian, Indonesian","","Breakfast, Dinner, Late Night","Buffet, Wheelchair Accessible"
"https://media-cdn.tripadvisor.com/media/photo-s/0f/f5/47/4e/photo0jpg","Kopi Tarik Ungaran","Jl. Kartini No.230 B, Ungaran 50511 Indonesia","4.0 ","","Asian, Indonesian","","",""
"https://media-cdn.tripadvisor.com/media/photo-s/0c/c1/fe/e9/the-harvest-cake-semarang.jpg","The Harvest Cakes - S. Parman","Jl. Letnan Jenderal S. Parman No.72 Lempongsari, Gajahmungkur, Semarang 50232 Indonesia","3.5 ","$35 - $330","Cafe","","Dinner","Parking Available, Takeout, Reservations, Seating, Table Service"
"https://media-cdn.tripadvisor.com/media/photo-s/14/3d/2b/03/photo4jpg","Crystal Sapphire Restaurant","Jl. Ir. Soekarno Best Western Premier Solo Baru, Solo 57552 Indonesia","4.5 ","","International, Asian, Indonesian","","Breakfast, Lunch, Dinner",""
