"image","cafeName","cafeAddress","rating","PRICE_RANGE","CUISINES","Special_Diets","Meals","FEATURES"
"https://media-cdn.tripadvisor.com/media/photo-s/10/1b/42/c6/sucesso-coffee-resto.jpg","Sucesso Coffee & Resto","Jl. Magelang Km .1 No. 61 Uniq Hotel, Yogyakarta 55242 Indonesia","5.0 ","","","","",""
"https://media-cdn.tripadvisor.com/media/photo-s/15/8f/be/02/sunday-morning-our-banana.jpg","Journey Coffee & Records","Jl Colombo no.37, Yogyakarta 55281 Indonesia","","IDR 10,000 - IDR 30,000","Asian, Indonesian, American","","Lunch, Dinner, Late Night, Drinks","Delivery, Takeout, Reservations, Outdoor Seating, Seating, Parking Available, Street Parking, Highchairs Available, Digital Payments, Free Wifi, Accepts Credit Cards"
"","Lingua Coffee And Eatery","Magelang St No.71, Kricak, Yogyakarta 55242 Indonesia","","","","","",""
"","Maji coffee and eatery","Jalan Sorowajan baru Yogyakarta Jalam Sorowajan Baru ( Utara JEC ) Yogyakarta, Yogyakarta 55198 Indonesia","","","Asian, Indonesian","","Breakfast, Lunch, Dinner, Brunch, Late Night, Drinks","Delivery, Reservations, Outdoor Seating, Parking Available, Television, Wheelchair Accessible, Accepts Mastercard, Accepts Visa, Digital Payments, Cash Only, Free Wifi, Accepts Credit Cards"
"https://media-cdn.tripadvisor.com/media/photo-s/10/fc/a0/d9/chicken-katsu.jpg","Unique Coffee & Gallery - CLOSED","Jl. Parangtritis No.63, Yogyakarta 55153 Indonesia","","","Asian, Indonesian","","",""
"https://media-cdn.tripadvisor.com/media/photo-s/12/df/ba/e8/getlstd-property-photo.jpg","Upnormal Coffee Roasters Kaliurang","Jl. Kaliurang KM 5.6, Gang Pandega Karya No 209, Depok 55281 Indonesia","3.5 ","","Cafe, Asian, Indonesian","","",""
"https://media-cdn.tripadvisor.com/media/photo-s/29/7e/83/b8/menunya-enak2-harga-ekonomis.jpg","SalSari Resto & Coffee","Jl. Nasional III No.4, Logandeng, Kec. Playen, Yogyakarta 55861 Indonesia","","","European, Asian, Indonesian","","Lunch, Dinner, Drinks","Takeout, Reservations, Buffet, Private Dining, Seating, Parking Available, Accepts Mastercard, Accepts Visa, Digital Payments, Free Wifi, Accepts Credit Cards, Table Service, Live Music, Playgrounds, Family style"
"","DE.RIMBUN Coffee & Eatery","Jl. Sidomulyo No.4, Manukan, Condong Catur, DIY, Yogyakarta 55283 Indonesia","","","Asian, Indonesian","","Breakfast, Lunch, Dinner, Brunch, Drinks","Reservations, Outdoor Seating, Seating, Parking Available, Digital Payments, Cash Only, Free Wifi, Drive Thru"
"https://media-cdn.tripadvisor.com/media/photo-s/27/9c/ba/a7/manual-brew-on-efreeday.jpg","Efreeday Coffee & Eatery","Jl. Pakem 1, Pakembinangun, Yogyakarta 55582 Indonesia","","","Asian, Diner, Wine Bar, Indonesian","","",""
"https://media-cdn.tripadvisor.com/media/photo-s/1a/22/f6/23/kopi.jpg","Kedai Filosofi Kopi, Yogya","Jl. Pandhawa No.001/17 Tegal Rejo, Sariharjo, Ngaglik 55581 Indonesia","4.0 ","IDR 793,651,008 - IDR 1,587,302,016","Indonesian","","","Takeout, Seating"
