"image","cafeName","cafeAddress","rating","PRICE_RANGE","CUISINES","Special_Diets","Meals","FEATURES"
"","Kopi Soji","Jl. Gamping - Sidoarum Patukan Ambarketawang Gamping Sleman Daerah Istimewa Yogyakarta, Sleman 55294 Indonesia","","","Asian, Indonesian","","",""
"https://media-cdn.tripadvisor.com/media/photo-s/17/d1/fc/d1/screenshot-20190606-211736.jpg","Kene Coffee House","Jl. Kaliwaru Raya no. 84C, Depok 55281 Indonesia","5.0 ","IDR 15,000 - IDR 30,000","International, Indonesian","","",""
"https://media-cdn.tripadvisor.com/media/photo-s/13/41/d5/92/getlstd-property-photo.jpg","The Sidji Kitchen & Dine","288, Ring Road Barat the Amartya Jogjakarta Hotel, Gamping 55592 Indonesia","4.5 ","IDR 45,000 - IDR 150,000","Chinese, American, Asian, Australian, Indonesian","","Breakfast, Lunch, Dinner, Brunch, Drinks","Reservations, Seating, Free Wifi, Accepts Credit Cards"
"https://media-cdn.tripadvisor.com/media/photo-s/12/61/21/98/getlstd-property-photo.jpg","Nirvana Pool & Lounge","Jl. Palagan Tentara Pelajar No.106 Indoluxe Hotel Rooftop, Ngaglik 55581 Indonesia","4.0 ","IDR 25,000 - IDR 150,000","Chinese, American, International, European, Asian, Indonesian","","",""
"https://media-cdn.tripadvisor.com/media/photo-o/0f/51/0f/9d/lokasi-unlock-coffeeshop.jpg","Unlock Coffeeshop","Jl. Palagan Tentara Pelajar no. 203, Sleman 55581 Indonesia","3.0 ","","","","Lunch, Dinner",""
"","The Pleret Coffee","Jl. Imogiri Timur Km 10, Bantul 55791 Indonesia","3.5 ","","Cafe","","",""
"https://media-cdn.tripadvisor.com/media/photo-s/27/4d/b6/da/20221124-165924-largejpg","J.CO","Jl. Raya Ring Road Utara Hartono Mall, Condongcatur 57731 Indonesia","4.5 ","","Cafe","","",""
"","Galeri Oma Vintage Gallery & Coffee","Jl. Monumen Jogja Kembali no. 55 Gemawang, Sleman 55284 Indonesia","4.0 ","IDR 10,000 - IDR 25,000","Asian, Indonesian","","Lunch, Dinner",""
"","Produsen Rempah Prima Sejahtera","Mojosari Indah Blok D.12 Rt.11, Kalangan, Bantul 55197 Indonesia","","","Asian, Indonesian","","Drinks",""
"","Rumah Roasting Manroe Coffee","Palem Sewu, Panggungharjo, Sewon, Bantul Regency, Bantul 55188 Indonesia","5.0 ","","Asian, Indonesian","","Lunch, Dinner, Brunch",""
"","Aegis Coffee","Jl. Perumnas No. 249 F, Depok 55281 Indonesia","5.0 ","","Cafe","","",""
"https://media-cdn.tripadvisor.com/media/photo-s/12/4e/3f/bb/getlstd-property-photo.jpg","Bless Coffee & Eatery - CLOSED","Jl. Magelang No.Km 6 Jogja Paradise Food Court, Sinduadi 55284 Indonesia","4.5 ","","Italian, American, Asian, Indonesian","","Breakfast, Lunch, Dinner, Brunch, Late Night, Drinks","Takeout, Seating, Free off-street parking, Free Wifi, Accepts Credit Cards"
"https://media-cdn.tripadvisor.com/media/photo-s/27/00/2d/40/ca-kangkung-menu-baru.jpg","Geprek&jus89","Jl.monjali,,,gemawang No 125 Rt02 Rw43 Sinduadi Dekat, Sleman 55284 Indonesia","4.5 ","","Asian, Indonesian","","","Delivery"
"","Benndoll Coffee Yogyakarta - CLOSED","Gg. Jemb. Merah No.60 E, Depok 55281 Indonesia","","","Cafe","","",""
"https://media-cdn.tripadvisor.com/media/photo-s/10/2c/b9/81/getlstd-property-photo.jpg","Happy Belly Dessert","Jl. Babarsari No.112A Kledokan, Caturtunggal 55281 Indonesia","4.5 ","IDR 12,000 - IDR 25,000","Asian, Korean, Taiwanese","","",""
"https://media-cdn.tripadvisor.com/media/photo-s/1c/12/27/7b/entrance-and-smoking.jpg","Pikali Pizzeria","Jalan Damai, Sleman 55581 Indonesia","5.0 ","IDR 10,000 - IDR 100,000","Italian, Pizza, Asian","Vegetarian Friendly","Lunch, Dinner, Drinks","Delivery, Takeout, Reservations, Table Service, Seating"
"https://media-cdn.tripadvisor.com/media/photo-s/0f/47/12/ca/getlstd-property-photo.jpg","GM Coffee & Lounge","Jl. Ring Road Utara Hartono Mall GF 1, Condong Catur, Sleman 57731 Indonesia","3.0 ","IDR 18,000 - IDR 60,000","Asian, Indonesian","","",""
"","Goodwin Eatery & Bar","Jl. Selokan Mataram No.1-3 Ruko Seturan Square kavling 20-21 komplek Student Park Apartement, Depok 55281 Indonesia","","","Brew Pub, Pizza, Asian, Pub, Indonesian, Soups","","",""
"https://media-cdn.tripadvisor.com/media/photo-s/15/d8/e0/af/getlstd-property-photo.jpg","Lokus X Dongeng Kopi","Jl. Monjali No.42 Gemawang, Mlati 55284 Indonesia","5.0 ","IDR 13,000 - IDR 23,000","Asian, Indonesian","","",""
"https://media-cdn.tripadvisor.com/media/photo-s/06/9c/fb/6d/gudeg-bu-tjitro.jpg","Gudeg Bu Tjitro","Jl. Janti No.330 Modalan, Banguntapan 55281 Indonesia","4.0 ","","Indonesian, Asian","","Lunch, Dinner, Breakfast","Seating, Table Service, Reservations"
"","Bengawan Solo Coffee","Jalan Ring Road Utara No.14 Ruko Pandega Permai, Purwosari, Sinduadi 55281 Indonesia","","","Cafe","","Lunch, Dinner",""
"https://media-cdn.tripadvisor.com/media/photo-s/18/93/bf/cd/caption.jpg","Java Tea House - CLOSED","Jl. Ring Road Utara No.77, Mlati 55284 Indonesia","4.0 ","IDR 10,000 - IDR 50,000","Asian, Indonesian","","Lunch, Dinner, Brunch, Late Night","Reservations, Takeout, Outdoor Seating, Seating, Parking Available, Street Parking, Television, Highchairs Available, Free Wifi, Accepts Credit Cards, Table Service"
"","Ailen Coffee - Small Roastery & Mini Bar","Gg. Soka Bodon, Jagalan, Banguntapan 55192 Indonesia","","","","","Drinks","Seating, Parking Available, Digital Payments, Cash Only"
"https://media-cdn.tripadvisor.com/media/photo-s/09/98/7e/6d/tea-time-cafe.jpg","Tea Time Cafe","Jl. Raya Ring Road Utara Hartono Mall Yogyakarta, 2nd Floor, Unit 16, Sleman 57731 Indonesia","","IDR 20,000 - IDR 60,000","Chinese, Asian, Indonesian, Taiwanese","","Lunch, Dinner","Takeout, Seating, Wheelchair Accessible, Digital Payments, Free Wifi"
"https://media-cdn.tripadvisor.com/media/photo-s/12/e2/04/ed/dining-room.jpg","Bellva VVIP Bar & Kitchen - CLOSED","Jalan Ring Road Utara No. 6 Ground Floor unit 10-11 Hartono Mall, Depok 55281 Indonesia","4.0 ","","Bar, Pizza, International, Pub, Wine Bar","","Lunch, Dinner, Brunch, Late Night, Drinks","Takeout, Reservations, Outdoor Seating, Buffet, Seating, Television, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Digital Payments, Cash Only, Free Wifi, Accepts Discover, Table Service, Parking Available, Validated Parking, Valet Parking, Accepts Credit Cards"
"https://media-cdn.tripadvisor.com/media/photo-s/14/ca/fc/e7/bornga.jpg","Bornga","Jalan Lempongsari Raya Sariharjo, Sleman Regency, Ngaglik 55581 Indonesia","4.0 ","IDR 100,000 - IDR 400,000","Asian, Korean, Barbecue","","","Reservations, Seating, Table Service, Wheelchair Accessible"
"https://media-cdn.tripadvisor.com/media/photo-s/12/d9/08/cb/img-20180429-122015-largejpg","Rumah Makan & Catering Dua Putri","Jl. Perumnas No.249 F Catur Tunggal, Caturtunggal 55281 Indonesia","4.0 ","","Asian, Indonesian","","",""
"https://media-cdn.tripadvisor.com/media/photo-s/11/c9/90/ed/getlstd-property-photo.jpg","Jogja Scrummy Outlet Kaliurang - CLOSED","Jl. Kaliurang KM. 5,5 No. 44 Ruko Cakra Kembang, Manggung, Depok 55281 Indonesia","4.0 ","IDR 55,000 - IDR 68,000","Asian, Deli, Indonesian","","Drinks",""
"https://media-cdn.tripadvisor.com/media/photo-p/12/33/51/e8/getlstd-property-photo.jpg","Fullmoon Home Creative Coffee","Jl. Tantular No. 55, Sleman 55283 Indonesia","5.0 ","","Italian, Mexican, Spanish, Asian, Indonesian","","Lunch, Dinner",""
"https://media-cdn.tripadvisor.com/media/photo-w/13/d6/ac/1e/getlstd-property-photo.jpg","Sindikat Coffee","Jl. Raya Kledokan No.6 Ngentak, Caturtunggal, Depok 55281 Indonesia","","IDR 9,000 - IDR 36,000","Asian, Indonesian","","",""
"https://media-cdn.tripadvisor.com/media/photo-s/14/b8/b7/b3/ruangan-di-dalam-kedai.jpg","Stereos Coffee","Jl. Pandega Marta No.29 Manggung, Caturtunggal, Depok 55281 Indonesia","4.5 ","","","","",""
"https://media-cdn.tripadvisor.com/media/photo-s/1a/94/7c/be/suasana-roti-canai.jpg","Roti Canai & Teh Tarik D'Joema Yogyakarta","Jl. Wahid Hasyim Dabag, Condongcatur, Depok 55281 Indonesia","","IDR 6,000 - IDR 12,000","Asian, Malaysian","","",""
"https://media-cdn.tripadvisor.com/media/photo-s/17/0b/79/2f/img20190404142822-largejpg","Rumah Makan Sederhana","Jln. Kaliurang, Depok 55281 Indonesia","4.0 ","","Asian, Indonesian","Halal","Lunch, Dinner, Brunch","Delivery, Takeout, Seating, Table Service, Reservations"
"","Garlic Grill & Pasta","Jl. Rogoyudan I No. 1 Sinduadi, Mlati, Sleman 55284 Indonesia","2.5 ","","International","","",""
"","Misterblek Blended Coffee - CLOSED","Jl. Seturan, Caturtunggal 55281 Indonesia","","","Cafe","","",""
"https://media-cdn.tripadvisor.com/media/photo-p/12/c9/ac/71/area-dalam.jpg","Starbucks","Jl. Ring Road Utara Lantai GF, Hartono Mall, Condongcatur 52281 Indonesia","4.5 ","","Cafe","","",""
"https://media-cdn.tripadvisor.com/media/photo-s/0a/97/fb/95/gyoza.jpg","Hakata Ikkousha Ramen Restaurant","Jl. Demangan Baru No.16 Ruko Demangan Kav 2-3, Caturtunggal 55281 Indonesia","4.0 ","","Japanese","","Lunch, Dinner","Table Service"
"https://media-cdn.tripadvisor.com/media/photo-s/2a/7f/2b/42/a.jpg","Pippa Kitchen","Jl Mojo No 99 Nogotirto Utara Lapangan Nogotirto, Sleman 55292 Indonesia","5.0 ","","Asian, Indonesian","","Breakfast, Lunch, Brunch, Drinks","Delivery, Seating, Digital Payments, Cash Only, Free Wifi, Drive Thru"
"https://media-cdn.tripadvisor.com/media/photo-s/0f/f1/23/39/sushi-roll.jpg","Silla Restaurant","Jl. Ring Road Utara No.33 Manggung, Caturtunggal 55281 Indonesia","4.0 ","","Japanese, Asian, Korean","","Lunch, Dinner","Reservations, Seating, Table Service"
"https://media-cdn.tripadvisor.com/media/photo-s/15/14/8b/66/food-plays-such-a-central.jpg","Zuparella","Jl. Kaliurang No.12 Km. 5.3 Sleman Yogyakarta Caturtunggal, Depok 55281 Indonesia","5.0 ","IDR 15,000 - IDR 30,000","Asian, Healthy, Indonesian, Soups","Halal","Lunch, Dinner, Brunch, Drinks","Seating, Table Service"
"","Kavakopi","Jl. Monumen Jogja Kembali No.47 Gemangan, Sinduadi, Mlati 55284 Indonesia","","","Cafe","","",""
"https://media-cdn.tripadvisor.com/media/photo-s/2a/1f/66/48/dining-at-taman-sari.jpg","Taman Sari Bar & Grill","Jl. Raya Ringroad Utara Yogyakarta Marriott Hotel, Depok 55283 Indonesia","5.0 ","","","","",""
"https://media-cdn.tripadvisor.com/media/photo-s/13/7b/80/b5/2016-10-21-12-46-49-largejpg","Kami Sushi Jogja","Jl. Magelang no. 18 Jogja City Mall Lantai GF, Sleman 55284 Indonesia","5.0 ","","Sushi, Japanese, Asian","Vegetarian Friendly, Vegan Options","Lunch, Dinner, Brunch","Takeout, Seating, Wheelchair Accessible, Free Wifi, Table Service, Reservations"
"https://media-cdn.tripadvisor.com/media/photo-s/15/3c/44/d7/photo1jpg","Thon’s Coffee","Jl. Seturan Raya, Sleman 55281 Indonesia","5.0 ","","Cafe, Deli","","",""
"https://media-cdn.tripadvisor.com/media/photo-s/15/92/94/bb/coworking-in-yogya.jpg","Kaktus Coffee Place","Jl. Gondang Raya 800m west of Terminal Bus Condong Catur, Depok 55283 Indonesia","4.5 ","","","","Breakfast, Lunch, Dinner",""
"https://media-cdn.tripadvisor.com/media/photo-s/07/d9/26/ea/l-cost-seafood.jpg","L'Cost Seafood","Jln. Babarsari Sebelum Spbu Babarsari, Sleman 55281 Indonesia","3.0 ","","","","",""
"https://media-cdn.tripadvisor.com/media/photo-s/12/b2/13/57/getlstd-property-photo.jpg","FIXed coffee","Jl. Kaliurang KM 5,6 no 11A Catur Tunggal, Depok 55281 Indonesia","","IDR 15,000 - IDR 20,000","Cafe","","Breakfast, Lunch, Dinner",""
"https://media-cdn.tripadvisor.com/media/photo-s/14/ae/d2/4e/getlstd-property-photo.jpg","Roca Restaurant and Bar","Jl. Kaliurang KM 5.6 No. 14 Artotel Yogyakarta, Depok 55281 Indonesia","","IDR 22,000 - IDR 250,000","American, European, Asian, Fusion, Indonesian","","",""
"https://media-cdn.tripadvisor.com/media/photo-p/19/72/fe/2c/ayam-geprek-bbq.jpg","Apatu Ricebowl & Salad Salut","Jl. Monumen Perjuangan Grojogan, Wirokerten, Banguntapan, Banguntapan 55194 Indonesia","3.0 ","IDR 3,000 - IDR 20,000","Asian, Indonesian","","Lunch, Dinner",""
"https://media-cdn.tripadvisor.com/media/photo-s/17/8d/38/b7/bak-mie-spesial-babi.jpg","Bak & Mie - Spesial Babi Geprek & Mie Babi","Kompleks Pertokoan Babarsari No.37a Kledokan, Caturtunggal, Depok 55281 Indonesia","5.0 ","","Chinese, Fast Food, Asian, Indonesian","","Breakfast, Lunch, Dinner",""
"https://media-cdn.tripadvisor.com/media/photo-s/08/3f/e6/31/bakso-mie-ayam-wonogiri.jpg","Bakso & Mie Ayam Wonogiri Sempurna 2","Jln. Perumnas, Sleman 55283 Indonesia","4.5 ","","Asian, Indonesian","","",""
"","Matcha Thai Tea","Jatirejo 42 B, Rt 02 Rw 21 Sendangadi, Mlati Belakang Htl Hyatt Jln Palagan, Sleman 55884 Indonesia","","","Asian, Indonesian","","Lunch, Dinner",""
"","Peter Coffee & Aquascape","Jl. Kaliurang Kentungan, Condongcatur, Depok 55281 Indonesia","","","French, Asian, Vietnamese, Indonesian","","Breakfast, Lunch, Dinner",""
"https://media-cdn.tripadvisor.com/media/photo-s/1a/63/07/fe/moonlite-cafe.jpg","Moonlite Cafe","Jl. Babarsari, Janti, Caturtunggal, Depok 55281 Indonesia","5.0 ","IDR 12,000 - IDR 25,000","Italian, American, European, Asian, Indonesian","","Dinner, Drinks",""
"https://media-cdn.tripadvisor.com/media/photo-s/1c/43/ed/a7/img20201018135113-largejpg","Parsley Bakery & Resto","Jl. Seturan Raya No.15A, Caturtunggal 55281 Indonesia","4.0 ","IDR 25,000 - IDR 40,000","Fusion, Indonesian, Italian, Asian","Vegetarian Friendly, Halal","Breakfast, Lunch, Dinner, Brunch","Reservations, Seating, Accepts Mastercard, Accepts Visa, Free Wifi, Delivery, Takeout, Accepts Credit Cards, Table Service"
"https://media-cdn.tripadvisor.com/media/photo-s/17/d1/ef/5f/screenshot-20190606-205409.jpg","Mr. Shake Tea","Jl. Babarsari no. 7A Depan UPN Veteran Kampus Babarsari, Sleman Indonesia","3.5 ","","","","Drinks",""
"https://media-cdn.tripadvisor.com/media/photo-s/07/e3/3b/07/omah-ayam-spesialis-ayam.jpg","Omah Ayam Spesialis Ayam & Bebek Rempah","Jln. Babarsari Sebelah Upn Veteran Tambakbayan, Sleman 55281 Indonesia","3.0 ","","Asian, Indonesian","","",""
"https://media-cdn.tripadvisor.com/media/photo-s/0e/7f/3b/1f/raya-kitchen.jpg","Raya's kitchen and coffee","Jl. Sulawesi VIII no. 2, Sleman 22568 Indonesia","4.5 ","","Cafe, Asian, Fusion, Healthy, Indonesian","","",""
"","Kong Kong Chinese & Seafood","Jl. Kabupaten, Gamping 55592 Indonesia","4.5 ","","","","",""
"","Chatime - CLOSED","Jl. Babarsari No. 23D, Caturtunggal 55281 Indonesia","4.0 ","","Asian, Indonesian","","",""
