"image","cafeName","cafeAddress","rating","PRICE_RANGE","CUISINES","Special_Diets","Meals","FEATURES"
"https://media-cdn.tripadvisor.com/media/photo-s/27/a3/20/95/amanjiwo-best-restaurant.jpg","Amanjiwo Restaurant","Desa Majaksingi, Borobudur, Magelang 56553 Indonesia","4.5 ","","Asian, Indonesian, International","Vegetarian Friendly, Gluten Free Options, Vegan Options","Breakfast, Lunch, Dinner, Brunch, Drinks","Reservations, Outdoor Seating, Seating, Parking Available, Serves Alcohol, Free Wifi, Table Service, Validated Parking, Valet Parking, Highchairs Available, Full Bar, Wine and Beer, Accepts Credit Cards, Non-smoking restaurants"
"https://media-cdn.tripadvisor.com/media/photo-s/12/c3/d5/a7/20180426-184105-largejpg","Spiegel Bar & Bistro","Jl. Let. Jend. Suprapto 34 Kota Lama, Semarang 50174 Indonesia","4.0 ","IDR 18,000 - IDR 195,000","Italian, American, Bar, Cafe, European, Wine Bar, Contemporary","Vegetarian Friendly, Vegan Options, Gluten Free Options","Breakfast, Lunch, Dinner, Brunch, Late Night, Drinks","Takeout, Reservations, Seating, Parking Available, Street Parking, Free off-street parking, Television, Highchairs Available, Serves Alcohol, Full Bar, Wine and Beer, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Credit Cards, Table Service, Live Music"
"https://media-cdn.tripadvisor.com/media/photo-s/16/db/e2/44/ini-adalah-tampilan-dari.jpg","Soto Gading","Jl. Brigjen. Sudiarta no.75, Solo Indonesia","4.0 ","","Asian, Indonesian, Soups","Halal","Breakfast, Lunch, Brunch","Takeout, Seating, Parking Available, Table Service"
"https://media-cdn.tripadvisor.com/media/photo-s/0a/44/1d/3b/food-items.jpg","Cafe Tiga Tjeret","Jl. Ronggowarsito no. 97 Ngarsopuro, Solo 57131 Indonesia","4.0 ","","Cafe, Fast Food, Asian, Indonesian","Vegetarian Friendly, Vegan Options, Halal","Lunch, Dinner, Late Night","Takeout, Reservations, Outdoor Seating, Seating, Parking Available, Free Wifi, Live Music"
"https://media-cdn.tripadvisor.com/media/photo-s/0e/39/54/3a/photo2jpg","Nestcology","Jln. Tambora 5A, Semarang 50251 Indonesia","4.0 ","","European, Indonesian, International","Vegetarian Friendly, Vegan Options, Halal","Lunch, Dinner","Takeout, Reservations, Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Table Service, Live Music"
"https://media-cdn.tripadvisor.com/media/photo-o/18/01/ff/4c/the-cafe-bar.jpg","Yellow Truck","Jl. Kebangkitan Nasional no. 35, Solo Indonesia","4.0 ","","Fast Food","","",""
"https://media-cdn.tripadvisor.com/media/photo-s/17/73/f5/cd/panfried-aust-s-beef.jpg","The Bean Garden Coffee & Eatery","Jl. Pugeran, Ring Road Utara Maguwoharjo, Depok 55281 Indonesia","4.0 ","","Italian, American, Cafe, Asian, Indonesian","","Breakfast, Lunch, Dinner, Brunch, Drinks","Takeout, Buffet, Seating, Parking Available, Free Wifi, Accepts Credit Cards"
"","Dapur Mbah Lemu","Semoyan 19 Singosaren Banguntapan Bantul, Yogyakarta 55193 Indonesia","","","","","",""
"https://media-cdn.tripadvisor.com/media/photo-s/29/8c/46/69/rumah-el-munaa.jpg","Rumah El Munaa","Jl. Turgo km 0, 8 Purwobinangun Pakem Sleman Yogya Wringin RT 03 RW 16 Purwobinangun Pakem Sleman Yogyakarta, Yogyakarta 55582 Indonesia","","","Asian, Indonesian","","Drinks",""
"","Jahemerah mbok ayu","Peru.ahan griya kurnia 2 blok C6 Sumbermulyo kepek wonosari gunungkidul DIY, Yogyakarta 55813 Indonesia","","","Asian","","Drinks",""
"","Hyro crispy and snack","Ponggalan UH 7/20 Giwangan umbul harjo, Yogyakarta 55163 Indonesia","","","Asian, Indonesian","","Breakfast, Lunch, Dinner, Brunch, Late Night, Drinks",""
"https://media-cdn.tripadvisor.com/media/photo-s/29/f7/e4/3e/osea-cafe-resto-bar-osea.jpg","Osea Resto & Bar","Jl. Pakem - Turi km.1, Harjobinangun,Sleman Jl. Pakem - Turi km.1, Harjobinangun, Pakem, Sleman, Daerah Istimewa Yogyakarta, Yogyakarta 55582 Indonesia","","","Italian, French, European, Asian, Indonesian","","Lunch, Dinner, Brunch, Drinks",""
"","Le Papito Coffee, Pastry & Eatery","Jl. Palagan Tentara Pelajar KM.7 CityWalk Mataram City, Yogyakarta 55581 Indonesia","","","Italian, International, Asian, Indonesian","","Breakfast, Lunch, Dinner, Brunch, Drinks","Delivery, Outdoor Seating, Seating, Parking Available, Serves Alcohol, Wine and Beer, Free Wifi"
"","Pastel & Risoles Momy","Jlegongan margorejo rt 07 rw 28 tempel, Yogyakarta 55552 Indonesia","","","","","Breakfast, Lunch, Dinner",""
"","Butik Food & Beverage","Kitren Ii/549 Rt 023/rw 005 Kotagede Yogyakarta, Yogyakarta 55172 Indonesia","","","Asian, Indonesian","","Breakfast, Lunch, Dinner",""
"","Dapur Mbah Lemu","Semoyan 46 Singosaren Banguntapan Bantul, Yogyakarta 55193 Indonesia","","","","","",""
"","Angkringanqu Skybar","Glondong, Panggungharjo, Sewon, Bantul, Yogyakarta Indonesia","","","Asian, Indonesian","","",""
"","Susu Kurma by YoumeFood","Plosokuning IV Rt 18, Yogyakarta 55285 Indonesia","","","","","Drinks","Delivery, Takeout, Parking Available, Street Parking, Digital Payments"
"","Coffee Container - CLOSED","Jl. HOS Cokroaminoto No. 170, Yogyakarta 55244 Indonesia","","IDR 5,000 - IDR 15,000","African, Asian, Indonesian","","",""
"https://media-cdn.tripadvisor.com/media/photo-s/1c/95/4f/42/new-logo-company-joglomenoreh.jpg","Joglo Menoreh Resto & Homestay","Jalan Watu Murah JatiSarono Nanggulan, KulonProgo, Yogyakarta 55671 Indonesia","","IDR 10,000 - IDR 65,000","Cafe, Asian, Healthy, Indonesian, Singaporean","","Breakfast, Lunch, Dinner, Brunch, Drinks","Delivery, Takeout, Outdoor Seating, Buffet, Private Dining, Seating, Parking Available, Street Parking, Television, Highchairs Available, Digital Payments, Cash Only, Free Wifi, Accepts Credit Cards, Table Service, Live Music, Family style, Gift Cards Available"
"","Kopi Soji","Jl. Gamping - Bantulan Patukan Ambarketawang Sleman Daerah Istimewa Yogyakarta, Yogyakarta 55294 Indonesia","","","Asian, Indonesian","","",""
"","Teman Seruput Coffee & Eatery","Jl. Kabupaten Km 2, Gamping, Sleman, Yogyakarta, Yogyakarta Indonesia","","","Asian","","Breakfast, Lunch, Dinner",""
