"image","cafeName","cafeAddress","rating","PRICE_RANGE","CUISINES","Special_Diets","Meals","FEATURES"
"https://media-cdn.tripadvisor.com/media/photo-s/16/d6/4d/54/photo1jpg","Jejamuran","Km. 11 Rt. 01 Rw. 20 Jl. Magelang no. 53 Niron, Pandowoharjo, Sleman 55512 Indonesia","4.5 ","","Asian, Healthy, Indonesian","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Lunch, Dinner, Brunch, Late Night","Takeout, Reservations, Outdoor Seating, Seating, Parking Available, Validated Parking, Highchairs Available, Wheelchair Accessible, Accepts Credit Cards, Table Service, Live Music"
"","Kopi Lereng Merapi","Jl. Bebeng Palemsari, Umbulharjo, Cangkringan, 55583 Indonesia","4.0 ","","Asian, Indonesian","","",""
"https://media-cdn.tripadvisor.com/media/photo-s/18/60/8b/cb/voltaire-coffee-and-barbershop.jpg","Voltaire Coffee and Barbershop","Jl. Sultan Agung No.28 Jurangombo Selatan, Magelang 56123 Indonesia","5.0 ","","Asian, Indonesian","","Breakfast, Drinks",""
"https://media-cdn.tripadvisor.com/media/photo-s/1b/62/56/c1/the-food.jpg","Pecel Solo - Waroeng Tempo Doeloe","Jl. Dr. Soepomo No. 55 Mangkubumen, Solo Indonesia","4.0 ","","Asian, Indonesian","Vegetarian Friendly, Vegan Options, Halal","Breakfast, Lunch, Dinner","Takeout, Reservations, Seating, Table Service, Live Music"
"https://media-cdn.tripadvisor.com/media/photo-s/1a/b8/2f/4f/photo0jpg","Marisini Coffee","Jl. Sidomukti Tiyosan, Condongcatur, Depok 55281 Indonesia","3.0 ","","","","",""
"https://media-cdn.tripadvisor.com/media/photo-s/11/9c/3f/68/img-20171228-181143-largejpg","Sate & Gule Kambing 29  Blenduk","Jl. Letjen. Soeprapto no. 29, Semarang Indonesia","4.0 ","","Asian, Indonesian","Halal","Dinner, Lunch","Takeout, Seating, Table Service"
"https://media-cdn.tripadvisor.com/media/photo-s/06/22/62/79/the-tables.jpg","Diamond International Restaurant","Jln. Slamet Riyadi No. 392, Solo 57162 Indonesia","4.0 ","","Chinese, Asian","Vegetarian Friendly, Halal","Lunch, Dinner, Brunch, Breakfast","Takeout, Reservations, Seating, Wheelchair Accessible, Table Service, Live Music"
"https://media-cdn.tripadvisor.com/media/photo-s/05/09/23/22/rooms-in-the-garden-back.jpg","The Gecho Cafe","Jln. Arief Rachman Hakim 49, Jepara 59417 Indonesia","4.0 ","","Italian, Pizza, Cafe, International","Vegetarian Friendly","Lunch, Dinner, Breakfast","Takeout, Seating, Serves Alcohol, Reservations, Table Service"
"https://media-cdn.tripadvisor.com/media/photo-p/1a/41/75/59/giggle-box.jpg","Giggle Box","Jl. Sultan Agung, Semarang Indonesia","3.5 ","","American, Cafe, European, Asian, Indonesian, Italian","Halal","Lunch, Dinner, Brunch","Seating, Takeout, Reservations"
"https://media-cdn.tripadvisor.com/media/photo-s/0a/ab/da/30/seputar-waroeng-larasati.jpg","Waroeng Larasati Madiun","Jln. Dr Sutomo 84, Madiun 63116 Indonesia","4.0 ","$1 - $2","Seafood, Fast Food, Asian, Indonesian, Soups","","",""
