"image","cafeName","cafeAddress","rating","PRICE_RANGE","CUISINES","Special_Diets","Meals","FEATURES"
"https://media-cdn.tripadvisor.com/media/photo-s/06/ce/06/d8/bale-raos.jpg","Bale Raos","Jl. Magangan Kulon No.1, Yogyakarta 55131 Indonesia","4.0 ","","Asian, Indonesian","Vegetarian Friendly, Vegan Options, Halal","Lunch, Dinner, Brunch, Late Night","Takeout, Reservations, Outdoor Seating, Seating, Parking Available, Validated Parking, Highchairs Available, Wheelchair Accessible, Accepts Credit Cards, Table Service, Live Music"
"https://media-cdn.tripadvisor.com/media/photo-s/22/fb/df/00/nanamia-tirtodipuran.jpg","Nanamia Pizzeria","Jl. Tirtodipuran No. 1, Yogyakarta 55143 Indonesia","4.5 ","","","Halal, Vegetarian Friendly, Vegan Options","Lunch, Dinner","Delivery, Takeout, Reservations, Outdoor Seating, Buffet, Seating, Parking Available, Street Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Credit Cards, Table Service"
"https://media-cdn.tripadvisor.com/media/photo-s/10/7c/23/b1/photo0jpg","Kedai Kebun","Jln. Tirtodipuran No. 3 Mantrijeron, Yogyakarta 55143 Indonesia","4.0 ","","Asian, Indonesian","Vegetarian Friendly, Vegan Options, Halal","Lunch, Dinner","Takeout, Reservations, Outdoor Seating, Seating, Delivery, Serves Alcohol, Table Service"
"https://media-cdn.tripadvisor.com/media/photo-s/12/17/68/d2/photo3jpg","Ruang Tengah Cafe","Jalan Patehan Lor No. 8, Yogyakarta 55133 Indonesia","4.5 ","IDR 20,000 - IDR 100,000","Italian, Asian, Fusion, Indonesian, South American","","",""
"https://media-cdn.tripadvisor.com/media/photo-s/0a/73/72/62/arroy-mak-mak.jpg","Arroy Mak-Mak","Jl. Malioboro No.3 Malioboro Mall, Yogyakarta 55271 Indonesia","3.5 ","","Thai, Healthy","","",""
"https://media-cdn.tripadvisor.com/media/photo-s/1b/e1/99/5e/front-view.jpg","Tempo Gelato Kaliurang","Jl. Kaliurang Km. 5 No. 98 Mlati - Sleman Daerah Istimewa, Yogyakarta 55153 Indonesia","4.5 ","IDR 25,000 - IDR 120,000","Cafe","Vegan Options, Halal","","Takeout, Seating, Parking Available, Free Wifi"
"https://media-cdn.tripadvisor.com/media/photo-s/0d/e0/77/07/punik-deli-interior.jpg","Punika Deli","Jalan Laksda Adisucipto no. 81 Lobby Hotel Royal Ambarrukmo Yogyakarta, Depok 55281 Indonesia","4.5 ","IDR 30,000 - IDR 150,000","International, Cafe, Deli, Healthy, Wine Bar","","Breakfast, Brunch, Lunch, Late Night, Drinks","Outdoor Seating, Parking Available, Validated Parking, Valet Parking, Wheelchair Accessible, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Cash Only, Free Wifi, Delivery, Takeout, Reservations, Seating, Highchairs Available, Table Service"
"https://media-cdn.tripadvisor.com/media/photo-s/0d/3e/73/95/fb-img-14759864671062341.jpg","J.Co Donuts Malioboro Mall","Jl. Malioboro No.52-58 Mal Malioboro Lantai UG, 21-21A, Yogyakarta 55213 Indonesia","4.0 ","","Cafe, Fast Food","","",""
"https://media-cdn.tripadvisor.com/media/photo-p/1b/e5/dc/c0/c360-2020-08-29-21-01.jpg","Pendopo Kopi Walik","Jl. Alun alun Utara Prawirodirjan, Gondomanan, Yogyakarta 55131 Indonesia","4.5 ","","Asian, Indonesian","","",""
"https://media-cdn.tripadvisor.com/media/photo-s/13/7d/6a/e0/angkringan-kopi-joss.jpg","Angkringan Kopi Jos Pak Agus","Jl. P. Mangkubumi No.5 Sosromenduran, Gedong Tengen, Yogyakarta 55271 Indonesia","4.0 ","","Asian, Street Food, Indonesian","","",""
